text,category,priority
Solicito devolucion del ultimo pago,Billing,HIGH
El recibo de pago no llego a mi correo,Billing,MEDIUM
Quiero ver el historial de mis facturas,Billing,LOW
Me aplicaron un descuento incorrecto,Billing,MEDIUM
Tengo un saldo pendiente que ya pague,Billing,HIGH
El sistema no acepta mi tarjeta de debito,Billing,HIGH
Quiero saber cuanto debo pagar este mes,Billing,LOW
La aplicacion no carga en mi celular,Technical Support,HIGH
No puedo subir archivos al sistema,Technical Support,MEDIUM
El modulo de reportes no funciona,Technical Support,HIGH
Tengo problemas con la sincronizacion,Technical Support,MEDIUM
El sistema borro mis datos sin razon,Technical Support,HIGH
No puedo exportar mis reportes a PDF,Technical Support,MEDIUM
La busqueda del sistema no encuentra resultados,Technical Support,MEDIUM
El sistema me cierra sesion automaticamente,Technical Support,MEDIUM
No puedo cambiar mi contrasena,Technical Support,MEDIUM
El correo de verificacion no llega,Technical Support,MEDIUM
La integracion con Slack no funciona,Technical Support,HIGH
El sistema es muy lento para cargar,Technical Support,MEDIUM
No puedo agregar nuevos usuarios,Technical Support,MEDIUM
El dashboard no muestra datos correctos,Technical Support,HIGH
Tengo un bug en el modulo de facturacion,Technical Support,HIGH
El sistema no envia alertas automaticas,Technical Support,MEDIUM
No puedo conectarme desde otra ciudad,Technical Support,HIGH
La app de escritorio no abre,Technical Support,HIGH
El chat en vivo no funciona,Technical Support,MEDIUM
Quiero cancelar y que me devuelvan mi dinero,Cancellations,HIGH
Como solicito la cancelacion de mi cuenta,Cancellations,HIGH
Quiero terminar mi contrato antes de tiempo,Cancellations,HIGH
Me quiero dar de baja del servicio,Cancellations,HIGH
Quiero cancelar pero no encuentro la opcion,Cancellations,HIGH
Solicito cancelacion inmediata de mi plan,Cancellations,HIGH
Quiero cancelar el plan pero conservar mis datos,Cancellations,MEDIUM
Cancele y aun me cobran la mensualidad,Cancellations,HIGH
Quiero saber el proceso para cancelar,Cancellations,LOW
Cuanto tiempo tarda en hacerse efectiva la cancelacion,Cancellations,LOW
Quiero cancelar solo un modulo del plan,Cancellations,MEDIUM
Me arrepenti de cancelar puedo reactivar,Cancellations,MEDIUM
Quiero cancelar la renovacion automatica,Cancellations,MEDIUM
No quiero que se renueve mi plan anual,Cancellations,MEDIUM
Quiero cancelar la prueba gratis antes de que cobre,Cancellations,HIGH
Quiero comprar el plan corporativo,Sales,MEDIUM
Tienen algun plan para startups,Sales,LOW
Que incluye el plan basico,Sales,LOW
Cuales son las diferencias entre planes,Sales,LOW
Tienen precio especial para ONGs,Sales,LOW
Quiero hacer una cotizacion para mi empresa,Sales,MEDIUM
Puedo probar el sistema antes de comprar,Sales,LOW
Tienen descuento por pago anual,Sales,LOW
Quiero hablar con un asesor comercial,Sales,MEDIUM
Como puedo adquirir mas almacenamiento,Sales,MEDIUM
Tienen integraciones con otros sistemas,Sales,LOW
Puedo personalizar el plan segun mis necesidades,Sales,MEDIUM
Cuanto cuesta agregar usuarios adicionales,Sales,LOW
Tienen plan de referidos,Sales,LOW
Me interesa el plan para equipos remotos,Sales,LOW
No se a quien contactar para mi problema,General,MEDIUM
Necesito asistencia urgente,General,HIGH
Quiero dejar una queja formal,General,HIGH
No estoy satisfecho con el servicio,General,HIGH
Como puedo contactar a soporte,General,LOW
Tienen redes sociales de soporte,General,LOW
Cuando responden los tickets normalmente,General,LOW
Quiero saber mas sobre la empresa,General,LOW
Como puedo dejar una resena del servicio,General,LOW
Necesito soporte en tiempo real,General,HIGH
Quiero que un agente me llame,General,MEDIUM
Tengo una sugerencia para mejorar el producto,General,LOW
No encuentro lo que busco en el sistema,General,MEDIUM
Necesito capacitacion para usar el sistema,General,LOW
Como actualizo mis datos de contacto,General,LOW
